Time String,Event String,Event data String
13-03-2025 16:14:01,Start Pre-Purge,1.300899
13-03-2025 16:14:01,Start Pre-Purge,1.402362
13-03-2025 16:14:01,Start Pre-Purge,1.502515
13-03-2025 16:14:01,Start Pre-Purge,1.603553
13-03-2025 16:14:01,Start Pre-Purge,1.704065
13-03-2025 16:14:01,Start Pre-Purge,1.804974
13-03-2025 16:14:01,Start Pre-Purge,1.904770
13-03-2025 16:14:01,Start Pre-Purge,2.004563
13-03-2025 16:14:01,Start Pre-Purge,2.104832
13-03-2025 16:14:01,Start Pre-Purge,2.205192
13-03-2025 16:14:01,Start Pre-Purge,2.305376
13-03-2025 16:14:01,Start Pre-Purge,2.405847
13-03-2025 16:14:01,Start Pre-Purge,2.506935
13-03-2025 16:14:01,Start Pre-Purge,2.606603
13-03-2025 16:14:01,Start Pre-Purge,2.707622
13-03-2025 16:14:01,Start Pre-Purge,2.809430
13-03-2025 16:14:01,Start Pre-Purge,2.909168
13-03-2025 16:14:01,Start Pre-Purge,3.008972
13-03-2025 16:14:01,Start Pre-Purge,3.108735
13-03-2025 16:14:01,Start Pre-Purge,3.209441
13-03-2025 16:14:01,Start Pre-Purge,3.309423
13-03-2025 16:14:01,Start Pre-Purge,3.409177
13-03-2025 16:14:01,Start Pre-Purge,3.509074
13-03-2025 16:14:01,Start Pre-Purge,3.609381
13-03-2025 16:14:01,Start Pre-Purge,3.710128
13-03-2025 16:14:01,Start Pre-Purge,3.810286
13-03-2025 16:14:01,Start Pre-Purge,3.910066
13-03-2025 16:14:01,Start Pre-Purge,4.010027
13-03-2025 16:14:01,Start Pre-Purge,4.109964
13-03-2025 16:14:01,Start Pre-Purge,4.210184
13-03-2025 16:14:01,Start Pre-Purge,4.309599
13-03-2025 16:14:01,Start Pre-Purge,4.410993
13-03-2025 16:14:01,Start Pre-Purge,4.511448
13-03-2025 16:14:01,Start Pre-Purge,4.612153
13-03-2025 16:14:01,Start Pre-Purge,4.713146
13-03-2025 16:14:01,Start Pre-Purge,4.812933
13-03-2025 16:14:01,Start Pre-Purge,4.913070
13-03-2025 16:14:01,Start Pre-Purge,5.013279
13-03-2025 16:14:01,Start Pre-Purge,5.113070
13-03-2025 16:14:01,Start Pre-Purge,5.212850
13-03-2025 16:14:01,Start Pre-Purge,5.313183
13-03-2025 16:14:01,Start Pre-Purge,5.412948
13-03-2025 16:14:01,Start Pre-Purge,5.513516
13-03-2025 16:14:01,Start Pre-Purge,5.615511
13-03-2025 16:14:01,Start Pre-Purge,5.714710
13-03-2025 16:14:01,Start Pre-Purge,5.815750
13-03-2025 16:14:01,Start Pre-Purge,5.917633
13-03-2025 16:14:01,Start Pre-Purge,6.017714
13-03-2025 16:14:01,Start Pre-Purge,6.116690
13-03-2025 16:14:01,Start Pre-Purge,6.216773
13-03-2025 16:14:01,Start Pre-Purge,6.317503
13-03-2025 16:14:01,Start Pre-Purge,6.417448
13-03-2025 16:14:01,Start Pre-Purge,6.517370
13-03-2025 16:14:01,Start Pre-Purge,6.618107
13-03-2025 16:14:01,Start Pre-Purge,6.718120
13-03-2025 16:14:01,Start Pre-Purge,6.818478
13-03-2025 16:14:01,Start Pre-Purge,6.917713
13-03-2025 16:14:01,Start Pre-Purge,7.018279
13-03-2025 16:14:01,Start Pre-Purge,7.118189
13-03-2025 16:14:01,Start Pre-Purge,7.218617
13-03-2025 16:14:01,Start Pre-Purge,7.318875
13-03-2025 16:14:01,Start Pre-Purge,7.418562
13-03-2025 16:14:01,Start Pre-Purge,7.520539
13-03-2025 16:14:01,Start Pre-Purge,7.619961
13-03-2025 16:14:01,Start Pre-Purge,7.720556
13-03-2025 16:14:01,Start Pre-Purge,7.821253
13-03-2025 16:14:01,Start Pre-Purge,7.922350
13-03-2025 16:14:01,Start Pre-Purge,8.022300
13-03-2025 16:14:01,Start Pre-Purge,8.123160
13-03-2025 16:14:01,Start Pre-Purge,8.223903
13-03-2025 16:14:01,Start Pre-Purge,8.323901
13-03-2025 16:14:01,Start Pre-Purge,8.424167
13-03-2025 16:14:01,Start Pre-Purge,8.525130
13-03-2025 16:14:01,Start Pre-Purge,8.624608
13-03-2025 16:14:01,Start Pre-Purge,8.724769
13-03-2025 16:14:01,Start Pre-Purge,8.825476
13-03-2025 16:14:01,Start Pre-Purge,8.924695
13-03-2025 16:14:01,Start Pre-Purge,9.024646
13-03-2025 16:14:01,Start Pre-Purge,9.125556
13-03-2025 16:14:01,Start Pre-Purge,9.227217
13-03-2025 16:14:01,Start Pre-Purge,9.327521
13-03-2025 16:14:01,Start Pre-Purge,9.427147
13-03-2025 16:14:01,Start Pre-Purge,9.527254
